余震が……腹の怪我が激痛を発し始めた。死んでしまう。痛い。サーバーの角が、破れた腹にめり込んでいるのがわかる。痛くて足が痙攣している。何度も気を失いそうになるが、痛みで覚醒する。指を動かせるうちに誰か気付いてくれ。死にたくない。痛い。痛みで発狂しそうだ,High
岩永美保が車ごと津波に流されて、龍和自工株式会社の倉庫の中のトラックの上にいます。宮城県岩沼市下野郷新拓174。誰か助けて下さい #j_j_helpme,High
とにかく早く救出してほしい。,High
ひたちなか近辺のライフライン全死して救助も援助無い状態だそうです！日立、及び県北西南で水の支援がされてない地域がたくさんあるとのこと!!故郷の茨城が死んじゃう。助けて! #save_ibaraki,High
@Kantei_Saigai 【緊急救援信号通報】地震で孤立している《宮城県花山村》は未だに救助や支援物資が来ず、餓死した赤ちゃんや老人が後をたちません、助けて！と救難信号を受信したので日本国政府に通報します。 #starvation,Middle
外国からの救助支援。６９の国から支援すると申し出があったそうだ。有りがたいことで、一人でも多くの人を助けて欲しい。,Low
被害がすごかった地域に早く救助、援助しないとさらに被害が大きくなってしまう。警察や自衛隊の方が動いてくれてる事や他国からの支援が本当にありがたい。,Low
たくさんの人々が亡くなった事が言葉ではいいようのない悲しみやから。だからこそ今ある命を助けてほしい。,Low
アメリカに助けてほしいといっていた避難所のおばあちゃんがいた（NHKニュース）けど災害時の救助や支援は自衛隊なしには考えられないですね　ありがとうございます　『防衛省・自衛隊：写真一覧（平成２３年東北地方太平洋沖地震関連）: http://bit.ly/e4uPxt』,Low
バカタレ！支援・救助活動はプロに任せにゃ！！ RT  @okwave 西日本で「雪？アイスバーン？なにそれ食えんの？」っていう地域の方々が被災地に陸路で支援に行ったはいいが、現地の雪道で身動き取れなくて「助けて(´；ω；｀)」って超邪魔だそうです。現地医師からの直情報です。,Low
